1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,Av,48,Unf,1774,774,Unf,2007.0,1828,Gd,11694,108,5,9,1822,2007,2007,314813
894,No,0,Unf,894,308,Unf,1962.0,894,TA,6600,0,5,5,894,1962,1962,109500
964,No,713,ALQ,163,432,Unf,1921.0,964,TA,13360,0,7,5,876,1921,2006,163500
1689,No,1218,GLQ,350,857,RFn,2002.0,1689,Gd,13265,59,5,8,1568,2002,2002,271000
1541,No,0,Unf,1541,843,RFn,2001.0,1541,Gd,13704,81,5,7,1541,2001,2002,205000
1221,No,410,GLQ,811,400,RFn,2004.0,1221,Gd,7500,113,5,7,1221,2004,2005,185000
1324,No,643,Rec,445,440,Unf,1965.0,1324,TA,8658,138,5,6,1088,1965,1965,160000
696,No,604,ALQ,92,484,Unf,1999.0,1416,Gd,2572,44,5,7,696,1999,1999,155000
526,Gd,462,GLQ,0,297,Unf,1973.0,988,TA,1596,101,5,4,462,1973,1973,91000
869,No,375,ALQ,360,440,Unf,2003.0,1218,TA,6000,0,6,6,735,1941,1950,131000
760,No,0,Unf,746,397,Fin,2003.0,1656,Gd,6931,128,5,7,746,2003,2004,165400
1362,Av,20,ALQ,1342,460,Unf,2005.0,1362,Gd,7577,28,5,6,1362,2005,2006,194700
1051,No,0,Unf,756,442,Unf,1966.0,1839,TA,7700,124,5,6,756,1966,1966,155000
1375,No,0,Unf,1367,451,Unf,1954.0,1375,TA,11310,30,5,6,1367,1954,1954,140000
1122,No,144,GLQ,172,528,Unf,1948.0,1122,Gd,12000,36,7,5,924,1948,2005,147000
1432,Gd,680,ALQ,289,588,Unf,1978.0,1432,Gd,16157,180,7,5,1360,1978,1978,194000
728,Av,0,Unf,728,400,Fin,2007.0,1456,Gd,9018,24,5,7,728,2007,2007,179540
1217,Av,611,GLQ,577,497,Unf,1990.0,1217,Gd,9947,27,5,7,1188,1990,1991,173000
1040,None,0,None,0,625,Unf,1950.0,1040,TA,7200,0,7,5,0,1950,1950,109500
612,Av,294,GLQ,318,528,RFn,2009.0,1224,Gd,3000,234,5,6,612,2009,2009,173733
1022,No,0,Unf,952,468,Unf,1931.0,1774,TA,6120,0,5,7,952,1931,1950,129900
961,No,241,Rec,229,384,Unf,1978.0,1367,TA,8405,130,8,5,861,1900,1950,119000
803,No,0,Unf,803,297,Unf,1951.0,1360,Gd,7200,65,6,5,803,1938,1995,125500
848,Av,697,GLQ,151,420,RFn,2004.0,848,Gd,4426,0,5,6,848,2004,2004,149300
1482,Gd,871,GLQ,611,749,Fin,2003.0,2262,Gd,12244,0,5,8,1482,2003,2003,305000
1220,No,836,LwQ,0,396,Unf,1951.0,1220,TA,8877,0,5,4,836,1951,1951,102000
1414,No,0,Unf,1375,398,Fin,2004.0,1414,Gd,3072,20,5,7,1375,2004,2004,178740
1134,No,319,Rec,416,396,Unf,1950.0,2058,TA,9600,0,5,6,735,1917,1950,129500
1088,No,0,Unf,901,0,Unf,1979.0,1198,TA,5586,98,7,6,901,1920,1998,79900
1659,No,1158,GLQ,343,499,Fin,2000.0,1659,Ex,5664,59,5,8,1501,2000,2000,278000
1012,No,0,Unf,1012,308,Unf,1920.0,1012,TA,8263,22,5,6,1012,1920,1950,118400
1687,No,523,GLQ,301,672,Fin,1970.0,3082,TA,15863,63,3,7,824,1920,1970,197000
1032,No,0,Unf,360,672,Unf,1999.0,1812,Gd,7630,0,9,5,360,1900,1996,140000
1057,No,738,Unf,319,650,Fin,2001.0,1929,Gd,7050,235,5,7,1057,2001,2001,226000
954,Av,483,ALQ,428,576,Unf,1976.0,954,TA,10780,0,5,5,911,1976,1976,132500
1838,Av,1260,GLQ,578,765,Unf,2006.0,1838,Ex,14601,68,5,9,1838,2006,2006,315000
1640,No,728,BLQ,568,924,Unf,1993.0,1640,Gd,14778,0,7,6,1296,1954,2006,224000
1148,No,1148,BLQ,0,672,Unf,1959.0,1148,TA,7931,0,5,5,1148,1959,1959,132500
950,No,412,BLQ,251,280,Unf,1981.0,950,TA,9758,0,5,5,950,1971,1971,119500
1065,No,380,Unf,397,471,RFn,1993.0,1911,Gd,9554,81,5,8,777,1993,1994,215000
915,No,300,Rec,765,440,Unf,1950.0,1635,TA,8737,38,7,6,1065,1923,1950,210000
1316,Av,0,Unf,1316,440,Fin,2007.0,1316,Gd,11175,20,5,7,1316,2007,2007,200141
1442,No,0,Unf,1442,615,RFn,1970.0,1442,TA,11717,0,6,6,1442,1970,1970,185000
1078,No,734,GLQ,344,500,Fin,1971.0,1078,TA,12537,0,6,5,1078,1971,2008,149900
1120,No,932,ALQ,108,544,RFn,1961.0,1120,Fa,6970,0,5,4,1040,1961,1961,129000
779,No,353,GLQ,55,527,Fin,2002.0,1419,Gd,7750,0,5,8,408,2002,2002,184100
707,No,0,Unf,651,240,Unf,1947.0,1389,TA,3378,0,8,7,651,1946,1992,135000
1063,No,354,Rec,412,280,RFn,1954.0,1063,TA,9920,0,5,5,1056,1954,1954,128000
1792,Gd,1567,GLQ,225,874,Fin,2003.0,1792,Ex,11846,49,5,9,1792,2003,2004,374000
1216,No,897,GLQ,319,402,Unf,1998.0,1216,TA,4500,125,5,6,1216,1998,1998,164000
998,No,0,Unf,596,576,Unf,1989.0,1762,Gd,7200,0,7,7,596,1920,1950,157000
847,Av,0,Unf,847,434,Fin,2004.0,1959,Gd,11796,48,5,7,847,2004,2005,215000
1208,No,767,ALQ,441,546,RFn,1977.0,1208,TA,11250,42,6,6,1208,1977,1977,165000
874,No,460,BLQ,414,315,Unf,1958.0,1524,TA,11344,0,5,5,874,1958,1958,144000
796,No,735,BLQ,61,240,Unf,1922.0,1154,Gd,5436,96,8,4,796,1922,2007,125500
1048,None,0,None,0,420,Unf,1950.0,1048,TA,7200,27,5,5,0,1950,1950,98300
886,No,0,Unf,190,273,Unf,1938.0,886,TA,5784,20,8,5,190,1938,1996,91300
943,Gd,943,GLQ,0,600,Unf,1979.0,943,TA,7032,0,5,5,943,1979,1979,135960
866,No,400,GLQ,466,603,RFn,2005.0,1768,Gd,9803,108,5,7,866,2005,2005,226700
1422,No,0,Unf,1393,779,Fin,1999.0,2599,Gd,14774,30,5,9,1393,1999,1999,333168
912,No,456,Rec,456,275,RFn,1958.0,912,TA,10150,0,5,5,912,1958,1958,114500
882,None,0,None,0,308,Unf,1956.0,882,TA,12702,45,5,5,0,1956,1956,97000
1337,No,266,GLQ,1139,511,Fin,1998.0,1337,Gd,4060,68,5,6,1405,1998,1999,181000
2076,Gd,1386,GLQ,690,850,Unf,2006.0,2076,Ex,13891,229,5,10,2076,2006,2006,465000
1328,Av,56,LwQ,1198,752,RFn,1995.0,2531,Gd,12257,98,5,8,1318,1995,1995,290000
